"","B1","B2","B3","B4","B5","B6","C1","C2","C3","C4","C5","C6","D1","D2","D3","D4","D5","D6"
"X276_RS00005",8,7,10,35,30,11,10,9,9,13,14,13,1,1,4,30,26,16
"X276_RS00010",28,12,9,61,15,14,27,28,22,13,15,9,2,1,1,16,8,5
"X276_RS00020",37,9,10,26,9,8,44,33,15,13,21,11,0,2,1,14,7,2
"X276_RS00025",21,4,7,10,6,5,18,14,6,6,9,5,0,0,1,0,0,0
"X276_RS00030",77,43,24,74,34,39,90,76,67,29,27,18,1,0,0,8,4,3
"X276_RS00035",45,39,20,86,29,25,56,33,55,31,28,19,0,3,1,20,7,5
"X276_RS00050",1,0,1,3,2,3,8,8,22,23,16,15,0,2,0,1,0,0
"X276_RS00065",5,4,4,15,3,4,18,8,14,9,7,3,0,1,0,1,1,0
"X276_RS00070",4,8,3,17,4,8,11,4,10,11,1,6,0,0,1,1,0,0
"X276_RS00075",3,4,5,23,3,6,6,8,6,11,6,4,0,0,1,0,0,0
"X276_RS00105",4,3,0,9,6,4,5,3,2,7,6,3,0,0,1,2,3,1
"X276_RS00110",9,6,4,22,16,9,8,10,12,10,14,8,1,1,2,6,7,1
"X276_RS00115",6,9,14,45,38,18,13,7,8,33,20,11,0,1,2,38,25,9
"X276_RS00120",136,78,123,169,68,55,84,93,67,67,83,47,70,36,44,106,34,20
"X276_RS00125",1,1,1,5,1,2,3,2,4,6,3,1,1,2,2,5,3,1
"X276_RS00130",9,23,24,110,27,16,19,29,48,55,32,13,1,2,7,12,3,3
"X276_RS00135",16,28,19,26,16,11,29,40,8,9,8,7,10,29,10,13,5,8
"X276_RS00140",201,96,155,360,141,74,106,125,79,135,127,73,86,43,64,316,81,45
"X276_RS00145",5,1,1,8,4,4,6,4,4,6,2,7,3,0,2,7,1,3
"X276_RS00150",7,5,8,38,12,9,2,4,4,18,7,7,4,1,4,29,11,7
"X276_RS00155",195,105,139,213,113,83,114,126,77,86,90,58,87,45,60,145,55,36
"X276_RS00160",137,79,117,152,70,53,83,101,63,65,81,47,54,31,44,107,38,26
"X276_RS00165",11,10,19,110,19,58,18,22,30,54,33,45,3,0,2,12,1,3
"X276_RS00170",12,7,12,30,6,14,12,13,29,13,9,7,3,0,2,7,1,4
"X276_RS00175",37,8,6,27,10,16,16,10,16,14,10,7,23,0,5,8,4,4
"X276_RS00180",145,4,4,37,10,7,19,5,7,9,9,8,125,6,3,28,8,7
"X276_RS00185",1,2,2,7,4,2,3,2,2,7,6,2,4,0,2,4,1,0
"X276_RS00190",1,6,12,32,14,14,3,8,16,28,18,3,4,0,3,2,3,1
"X276_RS00195",17,26,16,169,54,65,9,14,46,122,40,16,4,2,4,14,9,3
"X276_RS00200",5,2,2,4,5,1,5,2,4,3,3,2,4,0,2,2,5,3
"X276_RS00205",486,118,202,345,157,131,189,160,117,152,147,89,266,76,79,262,70,79
"X276_RS00210",14,5,8,24,5,12,11,5,14,11,11,7,4,2,2,5,3,3
"X276_RS00215",35,21,12,52,14,27,47,29,34,24,27,14,4,0,2,8,5,1
"X276_RS00220",9,3,3,14,3,5,8,9,9,6,5,5,4,0,2,4,2,2
"X276_RS00225",11,6,6,24,7,7,15,10,10,8,5,3,4,1,2,8,5,1
"X276_RS00230",80,36,136,503,398,286,65,57,70,286,367,191,39,20,62,355,151,77
"X276_RS00235",310,136,202,942,1766,1022,213,204,131,294,1328,902,188,83,90,792,1135,673
"X276_RS00240",199,107,174,422,509,350,120,144,113,149,347,330,96,67,82,340,297,237
"X276_RS00245",13,8,9,65,32,28,24,13,12,36,20,12,10,0,6,35,20,10
"X276_RS00250",13,11,15,55,33,21,12,14,14,27,23,12,6,4,6,47,23,11
"X276_RS00255",161,86,135,166,92,62,92,116,87,78,82,52,85,55,56,136,37,32
"X276_RS00260",4,3,14,100,76,22,3,4,7,45,58,14,5,0,26,189,69,21
"X276_RS00265",165,88,143,216,118,69,97,117,90,90,100,63,90,55,67,161,56,37
"X276_RS00270",167,89,155,259,144,85,102,120,87,100,137,76,94,55,67,204,76,47
"X276_RS00280",25,19,12,103,78,74,44,20,30,32,44,53,9,1,2,30,48,38
"X276_RS00285",13,5,11,59,17,11,10,6,17,16,15,7,4,0,2,13,4,2
"X276_RS00290",4,2,3,11,3,3,4,4,4,6,4,4,4,0,3,5,2,3
"X276_RS00295",95,43,62,108,39,45,45,57,35,49,31,27,56,24,48,75,38,29
"X276_RS00300",177,95,147,180,94,66,101,121,94,82,91,54,94,56,66,147,39,31
"X276_RS00305",9,4,13,25,11,10,3,5,7,10,13,10,5,1,4,14,14,5
"X276_RS00310",2,3,3,12,8,3,3,4,9,7,3,3,4,0,2,5,3,2
"X276_RS00315",33,38,43,115,22,26,50,52,66,44,28,12,4,2,4,22,5,4
"X276_RS00320",17,24,17,43,20,16,22,33,33,18,16,9,4,1,3,16,10,9
"X276_RS00325",53,23,46,60,37,37,49,33,31,14,35,24,25,18,22,50,27,31
"X276_RS00330",2,7,4,26,21,9,9,4,10,8,12,6,4,0,3,13,11,6
"X276_RS00335",65,41,55,873,164,124,100,65,110,302,224,97,5,1,4,60,8,10
"X276_RS00340",5,3,3,13,6,5,5,4,6,7,5,3,4,0,2,5,2,3
"X276_RS00345",2,2,4,12,3,2,5,5,5,6,6,2,5,0,2,7,2,2
"X276_RS00350",82,44,156,1117,495,297,78,16,227,460,536,194,5,2,3,86,11,16
"X276_RS00355",24,14,44,450,155,104,34,8,77,183,207,79,4,0,3,22,4,5
"X276_RS00360",2,2,3,8,2,4,2,4,5,4,3,3,5,0,2,5,3,2
"X276_RS00365",14,11,7,24,16,17,11,8,8,11,13,13,5,3,4,26,11,11
"X276_RS00370",6,3,7,18,8,9,19,16,12,8,9,4,4,0,2,8,2,2
"X276_RS00375",31,10,17,43,28,17,25,15,22,25,22,10,8,4,5,27,21,10
"X276_RS00380",8,7,12,59,15,5,5,7,7,13,14,5,5,4,9,14,2,2
"X276_RS00385",314,125,206,333,214,98,154,165,135,141,168,77,170,93,84,273,91,41
"X276_RS00390",213,118,181,230,151,85,121,142,108,102,132,68,117,75,75,188,48,35
"X276_RS00395",213,122,182,224,151,87,129,149,117,109,129,67,119,76,79,189,54,35
"X276_RS00400",59,39,33,92,46,22,86,68,62,44,31,18,6,0,7,35,28,11
"X276_RS00405",31,24,15,60,22,18,42,32,37,32,21,12,4,1,5,15,5,4
"X276_RS00410",27,15,12,47,11,28,46,30,39,25,25,10,5,0,5,8,2,5
"X276_RS00415",7,5,5,9,5,2,5,7,11,6,5,3,5,0,5,8,3,3
"X276_RS00420",5,5,5,14,3,2,6,5,7,4,6,3,5,0,5,10,1,3
"X276_RS00425",2,4,3,8,3,3,4,4,6,3,3,2,5,0,5,8,1,4
"X276_RS00430",224,124,192,247,168,95,137,151,115,113,141,82,135,85,92,226,74,52
"X276_RS00435",208,123,180,228,152,86,131,144,108,103,126,66,120,82,73,200,56,38
"X276_RS00440",30,29,33,100,29,36,51,38,85,55,30,14,8,2,8,23,11,9
"X276_RS00445",249,138,211,262,168,96,163,188,158,119,147,76,140,93,83,205,57,43
"X276_RS00450",223,127,191,251,169,93,142,157,128,118,144,72,123,85,75,201,64,42
"X276_RS00455",222,133,190,261,185,103,150,170,139,138,157,76,120,87,78,211,67,43
"X276_RS00460",13,8,12,28,7,10,11,10,19,15,14,6,8,1,7,20,1,4
"X276_RS00465",35,21,29,121,21,28,87,58,91,35,32,13,8,1,7,22,1,7
"X276_RS00470",20,40,35,82,64,25,28,47,21,51,44,17,8,3,7,53,36,14
"X276_RS00475",13,14,28,101,97,56,15,20,17,44,65,24,12,2,15,98,63,32
"X276_RS00480",16,12,12,23,15,11,12,8,10,16,19,13,8,1,8,28,6,7
"X276_RS00485",13,13,15,40,17,12,17,16,16,11,15,10,11,3,11,23,6,8
"X276_RS00490",9,14,8,18,11,4,6,8,9,5,15,6,8,2,7,18,2,3
"X276_RS00495",11,10,14,47,21,11,16,14,25,12,26,7,9,3,11,19,3,6
"X276_RS00500",11,12,8,23,6,5,14,13,12,12,16,9,9,3,9,21,5,4
"X276_RS00505",21,6,15,421,87,29,29,8,13,89,118,25,8,2,8,41,6,3
"X276_RS00510",13,10,19,52,55,25,13,11,14,28,34,14,11,4,10,34,33,19
"X276_RS00515",12,12,16,99,17,12,22,19,27,40,15,13,8,2,8,24,2,4
"X276_RS00520",58,27,33,229,26,67,69,48,61,48,35,20,10,2,8,25,2,4
"X276_RS00525",6,6,9,19,9,7,5,4,8,4,9,4,9,2,7,31,1,5
"X276_RS00530",8,10,11,126,20,27,12,7,15,49,47,19,8,5,8,28,5,8
"X276_RS00535",13,7,11,67,14,10,4,4,7,15,24,9,8,2,9,21,2,3
"X276_RS00540",36,28,40,152,44,32,26,44,50,48,54,20,8,4,7,31,2,5
"X276_RS00545",29,18,27,120,29,25,31,39,29,47,48,15,8,3,7,25,1,5
"X276_RS00550",5,6,6,9,4,3,4,4,4,3,8,3,8,3,7,19,1,4
"X276_RS00555",5,6,6,9,4,3,4,4,4,2,8,3,8,2,7,19,1,4
"X276_RS00560",5,6,6,9,4,3,4,4,4,2,8,3,8,2,7,19,1,4
"X276_RS00565",5,6,6,9,4,3,4,4,4,2,9,3,8,2,7,19,1,4
"X276_RS00570",5,6,6,9,4,5,4,4,4,2,8,3,8,2,7,19,1,4
"X276_RS00575",5,6,6,9,4,4,4,4,4,2,8,4,8,2,7,19,1,4
"X276_RS00580",5,6,6,9,4,3,4,4,4,2,8,4,8,2,7,19,1,4
"X276_RS00585",5,6,6,9,4,5,4,4,4,2,8,3,8,2,7,19,1,4
"X276_RS00590",6,6,6,9,4,3,4,4,4,2,8,3,8,2,7,19,1,4
"X276_RS00595",6,6,6,9,4,3,4,4,4,3,8,3,8,2,7,19,1,4
"X276_RS00600",21,144,212,966,145,155,29,142,308,447,212,98,10,10,11,119,7,16
"X276_RS00605",11,8,11,22,15,9,8,8,10,12,15,5,8,2,8,33,6,11
"X276_RS00610",7,12,8,21,12,9,6,8,8,6,16,5,8,2,7,22,3,4
"X276_RS00615",16,12,17,81,19,25,17,15,33,33,27,14,10,2,8,36,1,4
"X276_RS00620",23,16,16,40,37,22,15,17,39,25,22,12,10,3,9,24,14,12
"X276_RS00625",8,7,12,36,47,25,11,11,8,16,28,20,12,3,10,52,26,21
