Source	Target	Type	Confidence	Rule_ID	Quality_Tier	Meets_Original_Threshold
X276_RS09440	X276_RS00005	activation	1.000	X276_RS00005_rule_1	high	True
X276_RS20515	X276_RS00005	activation	1.000	X276_RS00005_rule_2	high	True
X276_RS09440	X276_RS00005	activation	1.000	X276_RS00005_rule_1	high	True
X276_RS05670	X276_RS00010	activation	1.000	X276_RS00010_rule_1	high	True
X276_RS05670	X276_RS00010	activation	1.000	X276_RS00010_rule_1	high	True
X276_RS05670	X276_RS00010	activation	1.000	X276_RS00010_rule_1	high	True
X276_RS05620	X276_RS00020	activation	1.000	X276_RS00020_rule_1	high	True
X276_RS02645	X276_RS00020	activation	1.000	X276_RS00020_rule_2	high	True
X276_RS05620	X276_RS00020	activation	1.000	X276_RS00020_rule_1	high	True
X276_RS10140	X276_RS00025	activation	1.000	X276_RS00025_rule_1	high	True
X276_RS05025	X276_RS00025	activation	1.000	X276_RS00025_rule_2	high	True
X276_RS10140	X276_RS00025	activation	1.000	X276_RS00025_rule_1	high	True
X276_RS13040	X276_RS00030	activation	1.000	X276_RS00030_rule_1	high	True
X276_RS12420	X276_RS00030	activation	1.000	X276_RS00030_rule_1	high	True
X276_RS03750	X276_RS00030	activation	1.000	X276_RS00030_rule_2	high	True
X276_RS13040	X276_RS00030	activation	1.000	X276_RS00030_rule_2	high	True
X276_RS03895	X276_RS00030	activation	1.000	X276_RS00030_rule_3	high	True
X276_RS02280	X276_RS00030	activation	1.000	X276_RS00030_rule_3	high	True
X276_RS00910	X276_RS00035	activation	1.000	X276_RS00035_rule_1	high	True
X276_RS00935	X276_RS00035	activation	1.000	X276_RS00035_rule_2	high	True
X276_RS01110	X276_RS00035	activation	1.000	X276_RS00035_rule_3	high	True
X276_RS19755	X276_RS00050	inhibition	0.857	X276_RS00050_rule_1	high	True
X276_RS19750	X276_RS00050	inhibition	0.857	X276_RS00050_rule_2	high	True
X276_RS19885	X276_RS00050	inhibition	0.857	X276_RS00050_rule_3	high	True
X276_RS02740	X276_RS00065	activation	1.000	X276_RS00065_rule_1	high	True
X276_RS01035	X276_RS00065	activation	1.000	X276_RS00065_rule_2	high	True
X276_RS02740	X276_RS00065	activation	1.000	X276_RS00065_rule_1	high	True
X276_RS27210	X276_RS00070	activation	0.923	X276_RS00070_rule_1	high	True
X276_RS27190	X276_RS00070	activation	0.923	X276_RS00070_rule_1	high	True
X276_RS00335	X276_RS00070	activation	0.923	X276_RS00070_rule_2	high	True
X276_RS27210	X276_RS00070	activation	0.923	X276_RS00070_rule_2	high	True
X276_RS00075	X276_RS00070	activation	0.923	X276_RS00070_rule_3	high	True
X276_RS27190	X276_RS00070	activation	0.923	X276_RS00070_rule_3	high	True
X276_RS20430	X276_RS00075	inhibition	1.000	X276_RS00075_rule_1	high	True
X276_RS21120	X276_RS00075	inhibition	1.000	X276_RS00075_rule_2	high	True
X276_RS21110	X276_RS00075	inhibition	1.000	X276_RS00075_rule_3	high	True
X276_RS01645	X276_RS00105	activation	1.000	X276_RS00105_rule_1	high	True
X276_RS00920	X276_RS00105	activation	1.000	X276_RS00105_rule_1	high	True
